Product Name,Category,Supplier,Region,Technology,Efficiency,Power (Wp or kW),Certifications,Warranty,Application Type,Availability,Lead Time,Company Size,Product Link
Sungrow Battery Storage Model 1033,Battery Storage,Sungrow,France,PERC,21.41%,557,"CE, IEC",20 years,VPP-ready,In Stock,4–6 weeks,SME,https://example.com/product/34
BYD Inverters Model 1034,Inverters,BYD,South Africa,Bifacial,20.68%,565,"UL, CE",12 years,Balcony,In Stock,2–3 weeks,Startup,https://example.com/product/35
JA Solar Hybrid Systems Model 1035,Hybrid Systems,JA Solar,China,TOPCon,19.34%,624,"ISO, TUV",10 years,Utility,In Stock,1 week,SME,https://example.com/product/36
Canadian Solar Solar Panels Model 1036,Solar Panels,Canadian Solar,South Africa,String,22.78%,553,"IEC, CE",12 years,Industrial,In Stock,1 week,MNC,https://example.com/product/37
GoodWe Solar Panels Model 1037,Solar Panels,GoodWe,USA,LiFePO4,18.68%,331,"IEC, TUV",25 years,Portable,Limited Stock,4–6 weeks,SME,https://example.com/product/38
Seraphim Inverters Model 1038,Inverters,Seraphim,Germany,LFP,21.35%,472,"CE, UL",25 years,Industrial,In Stock,8+ weeks,Startup,https://example.com/product/39
Huawei Inverters Model 1039,Inverters,Huawei,India,Hybrid,21.81%,526,"TUV, IEC",12 years,Industrial,In Stock,4–6 weeks,SME,https://example.com/product/40
Longi Solar Panels Model 1040,Solar Panels,Longi,Germany,N-type,20.19%,678,"CE, IEC",15 years,Residential,In Stock,4–6 weeks,SME,https://example.com/product/41
Aiko Hybrid Systems Model 1041,Hybrid Systems,Aiko,France,PERC,22.55%,428,"UL, IEC",20 years,Utility,In Stock,4–6 weeks,MNC,https://example.com/product/42
Jinko Solar Panels Model 1042,Solar Panels,Jinko,France,N-type,20.26%,492,"UL, TUV",5 years,Balcony,Limited Stock,8+ weeks,SME,https://example.com/product/43
Trina Battery Storage Model 1043,Battery Storage,Trina,South Africa,N-type,20.17%,632,"ISO, UL",20 years,VPP-ready,In Stock,8+ weeks,Startup,https://example.com/product/44
CATL Inverters Model 1044,Inverters,CATL,Singapore,LFP,22.19%,634,"IEC, TUV",25 years,Industrial,Limited Stock,1 week,Startup,https://example.com/product/45
Ampace Battery Storage Model 1045,Battery Storage,Ampace,Singapore,String,21.08%,603,"CE, UL",15 years,Balcony,In Stock,4–6 weeks,MNC,https://example.com/product/46
AlphaESS Inverters Model 1046,Inverters,AlphaESS,Germany,TOPCon,20.84%,633,"UL, IEC",5 years,Residential,Pre-order,8+ weeks,Startup,https://example.com/product/47
FoxESS Battery Storage Model 1047,Battery Storage,FoxESS,UAE,LiFePO4,18.77%,397,"UL, TUV",5 years,Portable,Limited Stock,2–3 weeks,MNC,https://example.com/product/48
Growatt Inverters Model 1048,Inverters,Growatt,South Africa,LiFePO4,20.89%,614,"ISO, UL",15 years,Utility,In Stock,1 week,MNC,https://example.com/product/49
Deye Inverters Model 1049,Inverters,Deye,UAE,Bifacial,19.63%,594,"ISO, CE",10 years,Commercial,Limited Stock,4–6 weeks,Startup,https://example.com/product/50
CATL Solar Panels Model 1051,Solar Panels,CATL,India,PERC,20.48%,625,"CE, TUV",20 years,VPP-ready,In Stock,4–6 weeks,Startup,https://example.com/product/51
FoxESS Hybrid Systems Model 1052,Hybrid Systems,FoxESS,Saudi Arabia,TOPCon,19.81%,675,"UL, CE",5 years,Portable,Limited Stock,1 week,SME,https://example.com/product/52
Seraphim EV Chargers Model 1053,EV Chargers,Seraphim,Canada,Bifacial,21.06%,694,"CE, ISO",20 years,Portable,In Stock,4–6 weeks,SME,https://example.com/product/53
AlphaESS Hybrid Systems Model 1054,Hybrid Systems,AlphaESS,Australia,TOPCon,21.37%,677,"ISO, IEC",20 years,Residential,Pre-order,8+ weeks,Startup,https://example.com/product/54
Longi Inverters Model 1055,Inverters,Longi,USA,LFP,19.63%,559,"UL, TUV",15 years,Balcony,Pre-order,8+ weeks,MNC,https://example.com/product/55
JA Solar EV Chargers Model 1056,EV Chargers,JA Solar,India,PERC,20.04%,673,"CE, IEC",20 years,Residential,In Stock,4–6 weeks,MNC,https://example.com/product/56
Aiko EV Chargers Model 1057,EV Chargers,Aiko,USA,TOPCon,22.96%,588,"IEC, ISO",20 years,Residential,Pre-order,2–3 weeks,SME,https://example.com/product/57
Jinko Hybrid Systems Model 1058,Hybrid Systems,Jinko,Australia,LFP,21.01%,319,"IEC, ISO",12 years,Off-grid,Pre-order,8+ weeks,Startup,https://example.com/product/58
CATL Inverters Model 1059,Inverters,CATL,India,Bifacial,18.52%,472,"IEC, TUV",5 years,Residential,Limited Stock,4–6 weeks,Startup,https://example.com/product/59
Ampace Inverters Model 1060,Inverters,Ampace,Germany,N-type,18.96%,456,"IEC, ISO",20 years,Off-grid,Pre-order,1 week,SME,https://example.com/product/60
CATL Inverters Model 1061,Inverters,CATL,Kenya,LiFePO4,21.59%,672,"IEC, UL",5 years,Off-grid,In Stock,4–6 weeks,MNC,https://example.com/product/61
Trina Solar Panels Model 1062,Solar Panels,Trina,Canada,LiFePO4,19.88%,683,"CE, ISO",25 years,Portable,In Stock,8+ weeks,Startup,https://example.com/product/62
CATL Solar Panels Model 1063,Solar Panels,CATL,Canada,LFP,21.84%,539,"ISO, IEC",20 years,Off-grid,Limited Stock,8+ weeks,SME,https://example.com/product/63
Growatt Inverters Model 1064,Inverters,Growatt,South Africa,LiFePO4,22.61%,309,"ISO, UL",15 years,Commercial,Pre-order,2–3 weeks,Startup,https://example.com/product/64
Canadian Solar Hybrid Systems Model 1065,Hybrid Systems,Canadian Solar,France,LFP,18.97%,608,"IEC, CE",5 years,Commercial,Limited Stock,2–3 weeks,MNC,https://example.com/product/65
JA Solar EV Chargers Model 1066,EV Chargers,JA Solar,Canada,Bifacial,22.49%,378,"UL, CE",5 years,Portable,Pre-order,1 week,Startup,https://example.com/product/66
FoxESS Hybrid Systems Model 1067,Hybrid Systems,FoxESS,Singapore,PERC,21.12%,503,"TUV, CE",20 years,Off-grid,Limited Stock,8+ weeks,SME,https://example.com/product/67
Trina Battery Storage Model 1068,Battery Storage,Trina,Netherlands,LiFePO4,21.96%,362,"ISO, TUV",10 years,Industrial,Pre-order,8+ weeks,MNC,https://example.com/product/68
Jinko Hybrid Systems Model 1069,Hybrid Systems,Jinko,Australia,Bifacial,20.46%,417,"ISO, TUV",10 years,Utility,Pre-order,2–3 weeks,SME,https://example.com/product/69
Growatt Solar Panels Model 1070,Solar Panels,Growatt,China,PERC,18.5%,551,"ISO, TUV",12 years,Utility,Limited Stock,1 week,MNC,https://example.com/product/70
SolarX Inverters Model 1071,Inverters,SolarX,UAE,TOPCon,18.64%,363,"IEC, ISO",5 years,Utility,Limited Stock,4–6 weeks,Startup,https://example.com/product/71
Seraphim EV Chargers Model 1072,EV Chargers,Seraphim,South Africa,LiFePO4,20.36%,375,"ISO, CE",5 years,Off-grid,Pre-order,8+ weeks,MNC,https://example.com/product/72
Deye Solar Panels Model 1073,Solar Panels,Deye,USA,LFP,20.16%,436,"TUV, UL",12 years,Balcony,Limited Stock,4–6 weeks,Startup,https://example.com/product/73
Growatt Battery Storage Model 1074,Battery Storage,Growatt,South Africa,TOPCon,21.64%,562,"ISO, TUV",12 years,Portable,In Stock,2–3 weeks,SME,https://example.com/product/74
GoodWe Hybrid Systems Model 1075,Hybrid Systems,GoodWe,Australia,LFP,20.97%,541,"IEC, TUV",20 years,Off-grid,In Stock,4–6 weeks,Startup,https://example.com/product/75
JA Solar EV Chargers Model 1076,EV Chargers,JA Solar,France,TOPCon,22.7%,344,"TUV, CE",20 years,Industrial,Pre-order,8+ weeks,Startup,https://example.com/product/76
Anker Battery Storage Model 1077,Battery Storage,Anker,UAE,LFP,18.81%,393,"TUV, UL",12 years,Portable,Pre-order,8+ weeks,MNC,https://example.com/product/77
Seraphim EV Chargers Model 1078,EV Chargers,Seraphim,USA,TOPCon,22.16%,369,"TUV, ISO",12 years,Off-grid,Pre-order,1 week,MNC,https://example.com/product/78
Growatt Solar Panels Model 1079,Solar Panels,Growatt,Canada,LiFePO4,21.82%,641,"TUV, IEC",10 years,Utility,In Stock,2–3 weeks,MNC,https://example.com/product/79
Resun Solar Solar Panels Model 1080,Solar Panels,Resun Solar,Spain,Bifacial,21.29%,614,"CE, IEC",20 years,Commercial,Pre-order,8+ weeks,SME,https://example.com/product/80
Growatt Battery Storage Model 1081,Battery Storage,Growatt,Netherlands,LFP,21.65%,355,"ISO, IEC",10 years,Portable,In Stock,2–3 weeks,SME,https://example.com/product/81
JA Solar Solar Panels Model 1082,Solar Panels,JA Solar,Singapore,LiFePO4,19.72%,546,"ISO, CE",25 years,Residential,In Stock,1 week,SME,https://example.com/product/82
FoxESS Inverters Model 1083,Inverters,FoxESS,Canada,Bifacial,22.7%,688,"TUV, IEC",10 years,Utility,Pre-order,4–6 weeks,SME,https://example.com/product/83
AlphaESS Battery Storage Model 1084,Battery Storage,AlphaESS,Netherlands,LFP,22.85%,307,"CE, TUV",5 years,Industrial,Pre-order,4–6 weeks,MNC,https://example.com/product/84
SolarX EV Chargers Model 1085,EV Chargers,SolarX,USA,Bifacial,20.68%,482,"TUV, CE",15 years,Portable,In Stock,2–3 weeks,MNC,https://example.com/product/85
Sungrow Solar Panels Model 1086,Solar Panels,Sungrow,India,Bifacial,21.99%,330,"UL, TUV",20 years,Utility,Limited Stock,1 week,Startup,https://example.com/product/86
AlphaESS EV Chargers Model 1087,EV Chargers,AlphaESS,UAE,Bifacial,19.84%,596,"TUV, IEC",15 years,VPP-ready,Pre-order,4–6 weeks,SME,https://example.com/product/87
Growatt Solar Panels Model 1088,Solar Panels,Growatt,USA,N-type,19.35%,326,"IEC, CE",20 years,Utility,In Stock,4–6 weeks,MNC,https://example.com/product/88
GoodWe Battery Storage Model 1089,Battery Storage,GoodWe,USA,PERC,22.48%,429,"UL, IEC",12 years,Portable,In Stock,4–6 weeks,MNC,https://example.com/product/89
Sungrow Hybrid Systems Model 1090,Hybrid Systems,Sungrow,Australia,Bifacial,21.16%,306,"UL, IEC",15 years,Residential,Limited Stock,1 week,MNC,https://example.com/product/90
Deye Inverters Model 1091,Inverters,Deye,China,N-type,19.81%,580,"ISO, IEC",5 years,Portable,Limited Stock,2–3 weeks,MNC,https://example.com/product/91
Deye EV Chargers Model 1092,EV Chargers,Deye,Australia,PERC,20.41%,418,"UL, IEC",25 years,Commercial,Pre-order,1 week,SME,https://example.com/product/92
JA Solar EV Chargers Model 1093,EV Chargers,JA Solar,UAE,PERC,21.5%,442,"ISO, TUV",15 years,Off-grid,In Stock,8+ weeks,Startup,https://example.com/product/93
Deye Battery Storage Model 1094,Battery Storage,Deye,Singapore,Bifacial,22.95%,424,"CE, TUV",25 years,VPP-ready,Limited Stock,4–6 weeks,Startup,https://example.com/product/94
Huawei EV Chargers Model 1095,EV Chargers,Huawei,France,PERC,20.83%,439,"IEC, ISO",10 years,Industrial,Limited Stock,1 week,SME,https://example.com/product/95
Growatt Inverters Model 1096,Inverters,Growatt,Kenya,Bifacial,22.32%,500,"IEC, UL",25 years,Portable,In Stock,8+ weeks,Startup,https://example.com/product/96
FoxESS Battery Storage Model 1097,Battery Storage,FoxESS,Kenya,PERC,22.83%,424,"TUV, UL",15 years,Industrial,Limited Stock,4–6 weeks,SME,https://example.com/product/97
BYD EV Chargers Model 1098,EV Chargers,BYD,Canada,TOPCon,21.79%,509,"TUV, ISO",12 years,VPP-ready,In Stock,1 week,SME,https://example.com/product/98
Aiko Battery Storage Model 1099,Battery Storage,Aiko,South Africa,TOPCon,19.69%,574,"IEC, TUV",15 years,Industrial,Limited Stock,2–3 weeks,SME,https://example.com/product/99
Growatt Battery Storage Model 1100,Battery Storage,Growatt,Spain,TOPCon,22.89%,553,"UL, IEC",25 years,Off-grid,Limited Stock,8+ weeks,SME,https://example.com/product/100
Canadian Solar Hybrid Systems Model 1101,Hybrid Systems,Canadian Solar,South Africa,LiFePO4,19.84%,361,"CE, IEC",15 years,Utility,Limited Stock,2–3 weeks,Startup,https://example.com/product/101
Huawei Hybrid Systems Model 1102,Hybrid Systems,Huawei,France,LFP,19.89%,372,"ISO, IEC",25 years,Balcony,Pre-order,2–3 weeks,MNC,https://example.com/product/102
Ampace Hybrid Systems Model 1103,Hybrid Systems,Ampace,Singapore,LFP,21.84%,364,"TUV, UL",15 years,Residential,Limited Stock,4–6 weeks,MNC,https://example.com/product/103
Aiko Solar Panels Model 1104,Solar Panels,Aiko,India,TOPCon,19.54%,447,"ISO, IEC",5 years,VPP-ready,Pre-order,1 week,MNC,https://example.com/product/104
AlphaESS Hybrid Systems Model 1105,Hybrid Systems,AlphaESS,China,TOPCon,19.94%,450,"IEC, ISO",10 years,Industrial,Pre-order,1 week,MNC,https://example.com/product/105
CATL Solar Panels Model 1106,Solar Panels,CATL,Saudi Arabia,LFP,21.1%,603,"UL, ISO",5 years,VPP-ready,Pre-order,1 week,SME,https://example.com/product/106
Jinko Battery Storage Model 1107,Battery Storage,Jinko,UAE,TOPCon,19.73%,398,"IEC, ISO",10 years,Balcony,In Stock,4–6 weeks,Startup,https://example.com/product/107
AlphaESS Hybrid Systems Model 1108,Hybrid Systems,AlphaESS,France,LiFePO4,18.65%,550,"IEC, CE",25 years,VPP-ready,Limited Stock,8+ weeks,SME,https://example.com/product/108
Seraphim EV Chargers Model 1109,EV Chargers,Seraphim,Spain,Bifacial,20.12%,459,"ISO, IEC",10 years,VPP-ready,In Stock,8+ weeks,SME,https://example.com/product/109
JA Solar Solar Panels Model 1110,Solar Panels,JA Solar,France,Bifacial,22.34%,306,"IEC, ISO",10 years,Off-grid,Pre-order,8+ weeks,MNC,https://example.com/product/110
Jinko EV Chargers Model 1111,EV Chargers,Jinko,Saudi Arabia,N-type,20.99%,414,"CE, UL",10 years,Commercial,Pre-order,4–6 weeks,Startup,https://example.com/product/111
Growatt Solar Panels Model 1112,Solar Panels,Growatt,Australia,N-type,22.05%,356,"CE, ISO",5 years,VPP-ready,Pre-order,1 week,SME,https://example.com/product/112
Deye Hybrid Systems Model 1113,Hybrid Systems,Deye,Australia,LiFePO4,21.49%,603,"IEC, UL",20 years,Portable,Pre-order,4–6 weeks,Startup,https://example.com/product/113
Ampace EV Chargers Model 1114,EV Chargers,Ampace,Spain,Bifacial,22.98%,445,"IEC, CE",12 years,Commercial,Pre-order,2–3 weeks,SME,https://example.com/product/114
Growatt Inverters Model 1115,Inverters,Growatt,Spain,N-type,20.35%,522,"UL, IEC",15 years,VPP-ready,Pre-order,4–6 weeks,Startup,https://example.com/product/115
CATL Inverters Model 1116,Inverters,CATL,USA,TOPCon,20.62%,547,"IEC, TUV",15 years,VPP-ready,In Stock,1 week,SME,https://example.com/product/116
Growatt EV Chargers Model 1117,EV Chargers,Growatt,South Africa,Bifacial,18.8%,694,"CE, UL",20 years,Commercial,In Stock,1 week,SME,https://example.com/product/117
GoodWe EV Chargers Model 1118,EV Chargers,GoodWe,Canada,LiFePO4,20.03%,609,"CE, ISO",25 years,Balcony,In Stock,8+ weeks,MNC,https://example.com/product/118
Anker Battery Storage Model 1119,Battery Storage,Anker,Spain,PERC,19.46%,509,"ISO, TUV",20 years,Balcony,Limited Stock,2–3 weeks,Startup,https://example.com/product/119
Trina Inverters Model 1120,Inverters,Trina,Netherlands,TOPCon,22.68%,418,"CE, UL",5 years,Off-grid,In Stock,1 week,Startup,https://example.com/product/120
